Chemical,Dose,time_end,se,sd,mean,median,n
OBS,0,4,5.250879555951661,18.189580350665963,16.258333333333333,7.65,12
OBS,0,5,4.897279702533693,16.964674527328306,16.472727272727273,10.3,12
OBS,0,6,5.955275050400773,20.629677920682887,19.38888888888889,10.5,12
OBS,0,7,5.687261245642798,19.701250866741574,18.075,8.45,12
OBS,0,8,5.572236069551865,19.302791968463467,23.3,18.6,12
OBS,0,9,5.307280987613289,18.38496064118109,21.43,13.2,12
OBS,0,10,5.027631980697606,17.416228064652806,20.85,14.85,12
OBS,0,11,4.644410129881454,16.08870863228449,17.936363636363637,8.4,12
OBS,0,12,3.844362153904126,13.31726114651374,14.777777777777779,11.4,12
OBS,0,13,4.8128733621403335,16.672282387243804,16.375,10.95,12
OBS,0,14,5.370837258486135,18.605126021763848,18.425,12.9,12
OBS,0,15,3.778258606188583,13.088271740105991,17.642857142857142,18,12
OBS,0,16,4.441049050243272,15.38424518785371,15.05,8.9,12
OBS,0,17,5.500709550190372,19.055016837218137,14.883333333333333,9.25,12
OBS,0,18,6.8588142804229175,23.759629626742925,17.3,9.9,12
OBS,0,19,5.521320957800554,19.12641684761083,12.4625,7.5,12
OBS,0,20,5.929697253975917,20.54107383477588,13.82857142857143,7.8,12
OBS,0,21,0.3377828033251874,1.17011395456454,8.975,8.85,12
OBS,0,22,0.774435278122065,2.6827224977623016,9.32,8.6,12
OBS,0,23,1.103709474080296,3.823361771804395,8.785714285714286,8.5,12
OBS,0,24,0.7707191035052502,2.6698492912700593,8.385714285714286,8.3,12
OBS,0,25,0.6101001739241043,2.1134489978863145,8.1,7.9,12
OBS,0,26,2.0047339806900397,6.944602220429907,8.933333333333334,5.7,12
OBS,0,27,2.5713547167524515,8.90743402739425,9.771428571428572,6.5,12
OBS,0,28,4.241915662156485,14.694426896554415,15.027272727272727,7.3,12
OBS,0,29,6.497020328438888,22.506338613327973,19.355555555555554,7,12
OBS,0,30,5.607986174070994,19.426633963269527,19.3625,9.05,12
OBS,0,31,2.1341209483584156,7.392811824107703,10.716666666666667,7.45,12
OBS,0,32,0.9768429874970811,3.383883370724628,9.633333333333333,9.8,12
OBS,0,33,1.0899541274750972,3.775711853412546,9.700000000000001,9.7,12
OBS,0,34,0.25538641745837276,0.8846845012017939,8.066666666666666,8,12
OBS,0,35,0.8108147969299987,2.808744847622799,9.371428571428572,9,12
OBS,0,36,1.8521813511575367,6.416144410072851,11.60909090909091,10.8,12
OBS,0,37,5.224940191045253,18.099723754798028,15.733333333333333,9.6,12
OBS,0,38,5.652214004100355,19.57984366070827,15.355555555555556,4.7,12
OBS,0,39,6.910921308576255,23.94013366712893,18.533333333333335,6.1,12
OBS,0,40,6.179932087495834,21.40791272573595,17.454545454545453,9.1,12
OBS,0,41,5.757499939692189,19.944564840243235,19.516666666666666,10.4,12
OBS,0,42,3.9275734663190365,13.605513588247963,15,9.4,12
OBS,0,43,0.767897562612792,2.6600751869073176,9.9,9.4,12
OBS,0,44,0.41633319989322654,1.4422205101855956,9.45,8.75,12
OBS,0,45,0.7844723229004485,2.7174918407903097,8.185714285714287,8.3,12
OBS,0,46,2.3428194617390026,8.115764681386244,11.718181818181819,8.2,12
